;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;Amundi ETF;;;;;
;;;;;;
;NAV STORICHE;;;;;
;;;;;;
;Nome del fondo;Amundi Stoxx Europe 600 UCITS ETF Acc;;;;
;Codice ISIN;LU0908500753;;;;
;Indice;STOXX Europe 600 (Net Return) EUR;;;;
;Metodologia di Replica;Physical;;;;
;Valuta di riferimento;EUR;;;;
;;;;;;
;Data di fusione;08/02/2024;;;;
;Data di aggiornamento;22/05/2025;;;;
;;;;;;
;Data di inizio periodo;03/04/2013;;;;
;Data di fine periodo;22/05/2025;;;;
;;;;;;
;Dati ritenuti esatti al 22/05/2025. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;
;;;;;;
;Si ricorda che i rendimenti passati non sono indicativi né costituiscono una garanzia di risultati futuri. Eventuali guadagni o perdite non tengono conto delle spese, delle commissioni e dei potenziali oneri a carico dell'investitore (quali imposte, commissioni di negoziazione o di altro tipo prelevate dall'intermediario finanziario, etc.).;;;;;
;;;;;;
;Data;NAV ufficiale;Attivi in gestione (mln);;;
;19/07/2024; 236.38;7975478 207.09;;;
;18/07/2024; 238.23;8031949 112.51;;;
;17/07/2024; 238.62;8022225 808.29;;;
;16/07/2024; 239.72;8041796 293.96;;;
;15/07/2024; 240.38;8064011 399.43;;;
;12/07/2024; 242.88;8147755 366.49;;;
;11/07/2024; 240.73;8075591 032.01;;;
;10/07/2024; 239.30;8025804 643.11;;;
;09/07/2024; 237.13;7946890 574.93;;;
;08/07/2024; 239.31;8014824 549.37;;;
;05/07/2024; 239.39;8017528 576.61;;;
;04/07/2024; 239.80;8022832 458.64;;;
;03/07/2024; 238.42;7974709 514.20;;;
;02/07/2024; 236.67;7916247 423.36;;;
;01/07/2024; 237.64;7948832 379.52;;;
;28/06/2024; 236.83;7921597 296.91;;;
;27/06/2024; 237.38;7938989 347.27;;;
;26/06/2024; 238.34;7970908 200.11;;;
;25/06/2024; 239.65;8011045 569.55;;;
;24/06/2024; 240.21;8029763 213.02;;;
;21/06/2024; 238.45;7970886 852.16;;;
;20/06/2024; 240.20;8029444 981.97;;;
;19/06/2024; 237.97;7954480 012.11;;;
;18/06/2024; 238.34;7967090 055.82;;;
;17/06/2024; 236.68;7910905 796.36;;;
;14/06/2024; 236.49;7904462 716.02;;;
;13/06/2024; 238.74;7979901 209.40;;;
;12/06/2024; 241.89;8085298 686.79;;;
;11/06/2024; 239.27;7989276 161.04;;;
;10/06/2024; 241.50;8055354 843.17;;;
;07/06/2024; 242.13;8063701 026.94;;;
;06/06/2024; 242.65;8074669 716.89;;;
;05/06/2024; 240.98;7910539 491.23;;;
;04/06/2024; 239.03;7778804 667.78;;;
;03/06/2024; 240.28;7727189 736.33;;;
;31/05/2024; 239.50;7702225 261.51;;;
;30/05/2024; 238.74;7677803 595.03;;;
;29/05/2024; 237.27;7630793 662.51;;;
;28/05/2024; 239.82;7711425 438.80;;;
;27/05/2024; 241.16;7754271 387.28;;;
;24/05/2024; 240.37;7728979 792.48;;;
;23/05/2024; 240.79;7742564 161.58;;;
;22/05/2024; 240.61;7736931 391.44;;;
;21/05/2024; 241.38;7760802 365.58;;;
;20/05/2024; 241.72;7771478 846.64;;;
;17/05/2024; 241.08;7751038 968.84;;;
;16/05/2024; 241.33;7758257 468.76;;;
;15/05/2024; 241.57;7762553 589.58;;;
;14/05/2024; 240.10;7715263 722.25;;;
;13/05/2024; 239.72;7702859 060.62;;;
;10/05/2024; 239.50;7695848 872.25;;;
;09/05/2024; 237.62;7635565 105.56;;;
;08/05/2024; 236.92;7612966 668.15;;;
;07/05/2024; 236.08;7586036 582.79;;;
;06/05/2024; 233.38;7499242 534.36;;;
;03/05/2024; 232.07;7456337 563.24;;;
;02/05/2024; 230.99;7404430 493.44;;;
;30/04/2024; 231.61;7424341 918.39;;;
;29/04/2024; 233.00;7468059 717.79;;;
;26/04/2024; 232.77;7460723 101.56;;;
;25/04/2024; 230.01;7372598 470.48;;;
;24/04/2024; 231.42;7417760 470.47;;;
;23/04/2024; 232.40;7448996 463.94;;;
;22/04/2024; 229.80;7373797 379.40;;;
